"Time","pod:adservice-w1-5c67ddfffc-rww7k_service:adservice_node:worker--1.novalocal","pod:cartservice-w1-86744bdcbd-z27z7_service:cartservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-4cqcn_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-5msjt_service:currencyservice_node:worker--1.novalocal","pod:frontend-w1-599b6846df-6dd5g_service:frontend_node:worker--1.novalocal","pod:frontend-w1-599b6846df-6htpq_service:frontend_node:worker--1.novalocal","pod:productcatalogservice-w1-f4b4d9fd7-2tdq7_service:productcatalogservice_node:worker--1.novalocal","pod:recommendationservice-w1-79d6bdc869-m2qjb_service:recommendationservice_node:worker--1.novalocal","pod:redis-cart-w1-7c75d55f4d-6rw5m_service:redis-cart_node:worker--1.novalocal","pod:adservice-w2-9f97cf96-cmsgr_service:adservice_node:worker--2.novalocal","pod:cartservice-w2-59ff89795c-lgkc8_service:cartservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-b9lwf_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-w685g_service:currencyservice_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-6rdwv_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-tjnnj_service:frontend_node:worker--2.novalocal","pod:productcatalogservice-w2-6b58745c78-nvfn6_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-w2-5f456698b4-wjq9m_service:recommendationservice_node:worker--2.novalocal","pod:redis-cart-w2-84485f8b85-lc99s_service:redis-cart_node:worker--2.novalocal","pod:adservice-w3-754d7d8cd4-rrx7l_service:adservice_node:worker--3","pod:cartservice-w3-856bd974f7-j6pp7_service:cartservice_node:worker--3","pod:currencyservice-w3-656689488c-6pq62_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-btm5t_service:currencyservice_node:worker--3","pod:frontend-w3-8ddd87c7b-47ff6_service:frontend_node:worker--3","pod:frontend-w3-8ddd87c7b-hrdhl_service:frontend_node:worker--3","pod:productcatalogservice-w3-5ddb984c58-jjzlm_service:productcatalogservice_node:worker--3","pod:recommendationservice-w3-78944884d-5lk2q_service:recommendationservice_node:worker--3","pod:redis-cart-w3-6d65c886c7-4jd8z_service:redis-cart_node:worker--3","pod:adservice-w4-76766bdfb6-97vs9_service:adservice_node:worker--4.novalocal","pod:cartservice-w4-6d5d8bb6bc-7ctp6_service:cartservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-k422t_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-t4h88_service:currencyservice_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-98g7k_service:frontend_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-gxwnj_service:frontend_node:worker--4.novalocal","pod:productcatalogservice-w4-6cf46588cb-m59tp_service:productcatalogservice_node:worker--4.novalocal","pod:recommendationservice-w4-868554688b-knvll_service:recommendationservice_node:worker--4.novalocal","pod:redis-cart-w4-5fdf77f88c-27jzr_service:redis-cart_node:worker--4.novalocal"
2021-05-15 09:55:00,0.046,0.044,0.031,0.032,0.15,0.14,0.12,0.080,0.0024,0.053,0.040,0.033,0.033,0.14,0.14,0.16,0.071,0.011,0.048,0.038,0.031,0.035,0.12,0.11,0.13,0.077,0.0096,0.045,0.052,0.031,0.028,0.14,0.14,0.15,0.087,0.020
2021-05-15 09:55:30,0.046,0.042,0.032,0.032,0.15,0.15,0.13,0.083,0.0024,0.054,0.040,0.033,0.033,0.14,0.14,0.16,0.072,0.011,0.049,0.037,0.033,0.036,0.12,0.12,0.13,0.072,0.0093,0.043,0.056,0.032,0.028,0.15,0.15,0.16,0.088,0.018
2021-05-15 09:56:00,0.046,0.050,0.032,0.033,0.15,0.15,0.13,0.085,0.0024,0.054,0.041,0.033,0.033,0.14,0.14,0.16,0.070,0.011,0.049,0.035,0.031,0.035,0.12,0.12,0.13,0.077,0.010,0.048,0.055,0.031,0.026,0.15,0.15,0.16,0.087,0.017
2021-05-15 09:56:30,0.047,0.049,0.033,0.032,0.15,0.15,0.12,0.088,0.0024,0.053,0.048,0.034,0.032,0.14,0.14,0.16,0.069,0.012,0.049,0.033,0.033,0.035,0.12,0.12,0.13,0.076,0.011,0.045,0.051,0.031,0.028,0.15,0.15,0.17,0.080,0.016
2021-05-15 09:57:00,0.047,0.044,0.033,0.033,0.15,0.15,0.12,0.089,0.0024,0.053,0.051,0.034,0.033,0.14,0.14,0.16,0.071,0.013,0.047,0.035,0.034,0.036,0.12,0.12,0.13,0.075,0.010,0.045,0.043,0.030,0.027,0.16,0.15,0.16,0.086,0.016
2021-05-15 09:57:30,0.048,0.045,0.032,0.033,0.15,0.15,0.12,0.090,0.0024,0.053,0.052,0.034,0.033,0.14,0.14,0.15,0.070,0.013,0.049,0.033,0.033,0.035,0.12,0.12,0.13,0.075,0.010,0.044,0.045,0.030,0.028,0.15,0.14,0.16,0.084,0.017
2021-05-15 09:58:00,0.048,0.041,0.032,0.032,0.15,0.15,0.12,0.089,0.0024,0.053,0.051,0.034,0.033,0.14,0.14,0.15,0.071,0.012,0.050,0.035,0.034,0.036,0.12,0.12,0.13,0.073,0.0093,0.044,0.043,0.030,0.025,0.15,0.15,0.17,0.085,0.016
2021-05-15 09:58:30,0.048,0.043,0.032,0.032,0.15,0.15,0.12,0.089,0.0024,0.053,0.047,0.033,0.033,0.14,0.14,0.15,0.072,0.012,0.049,0.037,0.034,0.035,0.12,0.12,0.13,0.071,0.0092,0.042,0.047,0.031,0.028,0.13,0.15,0.17,0.086,0.017
2021-05-15 09:59:00,0.048,0.044,0.032,0.031,0.15,0.15,0.12,0.088,0.0024,0.054,0.046,0.033,0.032,0.14,0.14,0.15,0.071,0.012,0.048,0.036,0.035,0.036,0.12,0.12,0.13,0.075,0.0094,0.045,0.048,0.031,0.030,0.14,0.14,0.17,0.087,0.018
2021-05-15 09:59:30,0.048,0.041,0.032,0.031,0.15,0.15,0.12,0.087,0.0024,0.054,0.047,0.034,0.032,0.14,0.14,0.15,0.069,0.012,0.048,0.038,0.034,0.036,0.12,0.12,0.13,0.077,0.0097,0.048,0.046,0.030,0.029,0.15,0.13,0.18,0.087,0.017
2021-05-15 10:00:00,0.048,0.044,0.031,0.031,0.15,0.15,0.12,0.087,0.0024,0.053,0.043,0.034,0.033,0.14,0.14,0.15,0.069,0.011,0.045,0.042,0.035,0.035,0.12,0.12,0.13,0.078,0.0093,0.048,0.046,0.029,0.030,0.15,0.14,0.17,0.086,0.017
2021-05-15 10:00:30,0.048,0.037,0.031,0.031,0.15,0.15,0.12,0.086,0.0024,0.053,0.044,0.033,0.033,0.14,0.14,0.15,0.068,0.012,0.046,0.043,0.035,0.036,0.12,0.12,0.13,0.078,0.0093,0.044,0.050,0.029,0.029,0.14,0.14,0.17,0.085,0.018
