"Time","pod:adservice-w1-5c67ddfffc-6ppzc_service:adservice_node:worker--1.novalocal","pod:adservice-w1-5c67ddfffc-rww7k_service:adservice_node:worker--1.novalocal","pod:cartservice-w1-86744bdcbd-z27z7_service:cartservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-b8wn7_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-hqk69_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-vqwfl_service:currencyservice_node:worker--1.novalocal","pod:currencyservice-w1-cd78b8fd6-wssc7_service:currencyservice_node:worker--1.novalocal","pod:frontend-w1-599b6846df-kwgql_service:frontend_node:worker--1.novalocal","pod:frontend-w1-599b6846df-qmszk_service:frontend_node:worker--1.novalocal","pod:frontend-w1-599b6846df-rqz9d_service:frontend_node:worker--1.novalocal","pod:frontend-w1-599b6846df-zmqtn_service:frontend_node:worker--1.novalocal","pod:productcatalogservice-w1-f4b4d9fd7-2tdq7_service:productcatalogservice_node:worker--1.novalocal","pod:recommendationservice-w1-79d6bdc869-b74w6_service:recommendationservice_node:worker--1.novalocal","pod:redis-cart-w1-7c75d55f4d-6rw5m_service:redis-cart_node:worker--1.novalocal","pod:adservice-w2-9f97cf96-7g55f_service:adservice_node:worker--2.novalocal","pod:cartservice-w2-59ff89795c-lgkc8_service:cartservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-5qp48_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-khglf_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-pcv4f_service:currencyservice_node:worker--2.novalocal","pod:currencyservice-w2-6f8d8654c5-w2crh_service:currencyservice_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-6545r_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-dbst6_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-k6rph_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-p94k7_service:frontend_node:worker--2.novalocal","pod:frontend-w2-777d8d5dcb-vpsmm_service:frontend_node:worker--2.novalocal","pod:productcatalogservice-w2-6b58745c78-nvfn6_service:productcatalogservice_node:worker--2.novalocal","pod:recommendationservice-w2-5f456698b4-m5tlc_service:recommendationservice_node:worker--2.novalocal","pod:redis-cart-w2-84485f8b85-lc99s_service:redis-cart_node:worker--2.novalocal","pod:adservice-w3-754d7d8cd4-q2wxz_service:adservice_node:worker--3","pod:cartservice-w3-856bd974f7-65prr_service:cartservice_node:worker--3","pod:cartservice-w3-856bd974f7-j6pp7_service:cartservice_node:worker--3","pod:currencyservice-w3-656689488c-729g6_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-jvj2h_service:currencyservice_node:worker--3","pod:currencyservice-w3-656689488c-x62zq_service:currencyservice_node:worker--3","pod:frontend-w3-8ddd87c7b-7kqbb_service:frontend_node:worker--3","pod:productcatalogservice-w3-5ddb984c58-jjzlm_service:productcatalogservice_node:worker--3","pod:recommendationservice-w3-78944884d-v46bt_service:recommendationservice_node:worker--3","pod:redis-cart-w3-6d65c886c7-4jd8z_service:redis-cart_node:worker--3","pod:redis-cart-w3-6d65c886c7-wln4w_service:redis-cart_node:worker--3","pod:adservice-w4-76766bdfb6-97vs9_service:adservice_node:worker--4.novalocal","pod:cartservice-w4-6d5d8bb6bc-7ctp6_service:cartservice_node:worker--4.novalocal","pod:cartservice-w4-6d5d8bb6bc-jxdxn_service:cartservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-4mcfd_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-b9pcz_service:currencyservice_node:worker--4.novalocal","pod:currencyservice-w4-649d8c7669-xprj2_service:currencyservice_node:worker--4.novalocal","pod:frontend-w4-6646bc856b-tjzrt_service:frontend_node:worker--4.novalocal","pod:productcatalogservice-w4-6cf46588cb-m59tp_service:productcatalogservice_node:worker--4.novalocal","pod:recommendationservice-w4-868554688b-hfb6s_service:recommendationservice_node:worker--4.novalocal","pod:redis-cart-w4-5fdf77f88c-27jzr_service:redis-cart_node:worker--4.novalocal","pod:redis-cart-w4-5fdf77f88c-7sctr_service:redis-cart_node:worker--4.novalocal"
2021-05-25 00:35:30,0.065,,,,0.23,0.23,0.25,,0.37,0.36,0.38,0.078,0.032,,0.069,,0.21,0.24,,0.26,0.39,,,0.38,0.39,0.098,0.030,,0.090,0.084,0.12,,0.32,,0.39,0.096,0.033,0.012,0.017,0.092,0.12,0.10,,,0.32,0.41,0.13,0.043,0.043,0.0044
2021-05-25 00:36:00,0.067,,,,0.24,0.23,0.25,,0.39,0.38,0.38,0.082,0.033,,0.070,,0.21,0.23,,0.26,0.39,,,0.39,0.39,0.098,0.030,,0.087,0.084,0.13,,0.34,,0.40,0.098,0.034,0.013,0.018,0.10,0.12,0.10,,,0.37,0.45,0.14,0.039,0.039,0.0045
2021-05-25 00:36:30,0.067,,,,0.24,0.24,0.26,,0.39,0.38,0.38,0.085,0.033,,0.071,,0.23,0.24,,0.24,0.39,,,0.39,0.39,0.096,0.030,,0.093,0.081,0.14,,0.32,,0.42,0.099,0.036,0.016,0.018,0.094,0.11,0.096,,,0.35,0.45,0.13,0.039,0.039,0.0045
2021-05-25 00:37:00,0.070,,,,0.23,0.23,0.26,,0.39,0.38,0.38,0.084,0.033,,0.070,,0.22,0.24,,0.25,0.39,,,0.39,0.39,0.097,0.030,,0.091,0.080,0.13,,0.33,,0.41,0.095,0.036,0.018,0.018,0.088,0.11,0.11,,,0.33,0.45,0.14,0.040,0.037,0.0045
2021-05-25 00:37:30,0.069,,,,0.22,0.23,0.26,,0.39,0.38,0.39,0.083,0.032,,0.070,,0.23,0.25,,0.24,0.39,,,0.39,0.39,0.097,0.030,,0.093,0.083,0.12,,0.33,,0.42,0.097,0.037,0.019,0.019,0.089,0.10,0.12,,,0.35,0.40,0.14,0.039,0.031,0.0046
2021-05-25 00:38:00,0.067,,,,0.23,0.23,0.25,,0.39,0.39,0.39,0.082,0.032,,0.070,,0.23,0.25,,0.24,0.39,,,0.39,0.39,0.10,0.030,,0.10,0.088,0.12,,0.33,,0.39,0.095,0.037,0.020,0.019,0.086,0.099,0.11,,,0.36,0.42,0.14,0.037,0.033,0.0046
2021-05-25 00:38:30,0.067,,,,0.22,0.23,0.25,,0.39,0.39,0.39,0.084,0.032,,0.070,,0.25,0.25,,0.23,0.39,,,0.39,0.39,0.10,0.031,,0.098,0.094,0.10,,0.35,,0.40,0.090,0.037,0.018,0.020,0.091,0.10,0.098,,,0.34,0.45,0.15,0.039,0.035,0.0048
2021-05-25 00:39:00,0.066,,,,0.22,0.23,0.26,,0.39,0.38,0.39,0.083,0.031,,0.071,,0.25,0.26,,0.23,0.39,,,0.39,0.39,0.10,0.030,,0.100,0.091,0.11,,0.34,,0.42,0.092,0.035,0.019,0.019,0.087,0.11,0.10,,,0.32,0.42,0.14,0.040,0.037,0.0043
2021-05-25 00:39:30,0.065,,,,0.23,0.23,0.24,,0.39,0.38,0.39,0.082,0.031,,0.072,,0.25,0.26,,0.23,0.39,,,0.39,0.39,0.10,0.031,,0.10,0.10,0.099,,0.34,,0.42,0.086,0.037,0.020,0.018,0.085,0.10,0.099,,,0.30,0.44,0.14,0.037,0.037,0.0045
2021-05-25 00:40:00,0.066,,,,0.22,0.23,0.25,,0.39,0.38,0.39,0.083,0.031,,0.072,,0.27,0.27,,0.21,0.39,,,0.39,0.39,0.10,0.031,,0.100,0.10,0.11,,0.33,,0.39,0.088,0.040,0.019,0.018,0.088,0.093,0.097,,,0.31,0.42,0.14,0.037,0.037,0.0047
2021-05-25 00:40:30,0.066,,,,0.22,0.23,0.26,,0.39,0.38,0.39,0.083,0.031,,0.072,,0.27,0.27,,0.20,0.39,,,0.39,0.39,0.10,0.031,,0.096,0.10,0.11,,0.32,,0.42,0.088,0.037,0.020,0.018,0.084,0.097,0.099,,,0.30,0.42,0.14,0.038,0.037,0.0044
2021-05-25 00:41:00,0.065,,,,0.23,0.22,0.25,,0.39,0.38,0.39,0.085,0.031,,0.072,,0.27,0.25,,0.22,0.39,,,0.39,0.39,0.10,0.031,,0.10,0.12,0.10,,0.31,,0.42,0.087,0.040,0.019,0.019,0.091,0.095,0.11,,,0.33,0.44,0.15,0.038,0.037,0.0044
